Crank anlge,lower ,Crank anlge,upper
3.72173245,0.126068688,-2.09867992,0.417734803
8.108080039,0.148196531,1.667359603,0.410169345
8.482784198,0.117488815,2.46014612,0.428631776
13.32684835,0.14739747,6.963642956,0.402769003
13.52932273,0.123498282,10.49029469,0.391550291
17.31913922,0.141422909,15.1849905,0.398987378
17.07017719,0.1647831,15.1392698,0.381990578
20.9803474,0.173357047,19.09562929,0.369956619
22.26771085,0.141922912,20.44761359,0.383323864
24.85481202,0.168657336,23.82257813,0.361049689
27.31993385,0.150045598,24.83440689,0.378300349
31.38870038,0.153826279,28.62149272,0.359280261
35.78001317,0.164177751,33.80723449,0.351652369
39.00307257,0.243159318,35.54050326,0.340266187
38.9130092,0.209678002,40.20889801,0.351418248
38.6720978,0.188120525,40.16731634,0.335960144
38.6758002,0.163996146,45.47168844,0.343372723
40.16868546,0.14217763,50.24309749,0.341549273
39.68568833,0.15691356,54.47762551,0.346469696
43.3354804,0.238696243,52.96901418,0.334886239
44.03714244,0.208103869,59.29652254,0.400587502
47.55599912,0.229067731,59.03515116,0.379924223
49.35417897,0.201096933,64.57507798,0.410680807
52.26603168,0.243555547,63.73431867,0.389023679
53.56674005,0.205748756,69.3908538,0.421572943
57.33137557,0.242388874,69.0480093,0.402122736
57.01152866,0.222654488,74.4087709,0.425442566
59.91912319,0.266530202,73.38569458,0.406844008
63.80084117,0.281527454,78.24159641,0.442396083
63.71415295,0.249300862,79.55646687,0.423940874
68.81149646,0.274197225,83.02788287,0.446884497
67.84351506,0.254357493,82.48907343,0.428728824
73.85146231,0.277763283,86.48939666,0.470817412
78.90538558,0.286518048,87.91904529,0.497278347
80.55473055,0.304649044,90.13861156,0.486998974
84.02518784,0.319763514,93.03604977,0.509483137
84.85240239,0.287272769,94.54480173,0.49034873
88.93005446,0.319471059,97.36937662,0.520362159
89.04617617,0.295023991,97.93557382,0.504174173
92.08680883,0.341605615,99.44831271,0.542356913
94.01051939,0.359729772,102.248319,0.527819187
96.05548109,0.41442913,101.2265297,0.509226822
96.30238757,0.378713524,104.6338346,0.549437084
99.17793658,0.394983449,106.0942256,0.533753555
100.7767148,0.427009388,108.8360504,0.567005447
103.9407499,0.413213085,110.6107221,0.555224717
102.4831923,0.381377061,113.8609548,0.584657161
105.7781328,0.416245177,113.3103582,0.56429256
109.1786222,0.405348891,117.5972328,0.597681799
110.2757025,0.388178985,118.4464045,0.578076045
115.6390976,0.394284969,122.4227267,0.597075104
120.396669,0.410565901,127.3508892,0.615746276
120.3140073,0.379836172,132.4127606,0.627455775
124.5847399,0.358983795,133.1016487,0.642711423
124.5817781,0.408012428,137.3424359,0.629252942
126.3854445,0.384343272,138.141553,0.64625459
129.7100041,0.387721121,142.4576903,0.649909987
129.8471611,0.353707097,147.7989499,0.666313222
133.9139068,0.505490952,150.8093573,0.686241421
132.3526261,0.406761373,153.6304975,0.672310061
132.8719398,0.373144311,155.8819619,0.693274093
133.5284342,0.430192424,156.9469026,0.737825041
132.8393725,0.361037326,159.641792,0.719627509
135.0722696,0.450386875,158.4210655,0.690831596
137.0611525,0.485453106,161.3708716,0.798310097
136.0945499,0.466125955,161.8126649,0.744632462
138.8004568,0.520026252,162.1791941,0.727886176
141.7866341,0.542113795,164.3029552,0.784253632
141.9673954,0.490308793,162.7332063,0.763836715
143.9766921,0.506248818,166.566763,0.813931485
146.1205,0.538192783,167.6357772,0.837758011
145.8522115,0.480957012,164.7393042,0.744586609
148.8522099,0.505349223,167.8997767,0.793217773
147.9128442,0.524481623,171.1087486,0.817377434
149.8270136,0.4710568,172.6720469,0.843521532
154.0211127,0.500179602,171.9542328,0.828108168
154.474551,0.474455067,177.4005692,0.851866698
